turn	x1	x2	y1	y2
1	1.087257e-5	4.723237e-7	1.022345e-5	-7.679844e-7
2	1.003777e-5	3.032082e-7	1.088203e-5	2.951721e-7
3	1.049796e-5	-4.768564e-7	1.050366e-5	7.56532e-7
4	1.097518e-5	3.187196e-7	1.014821e-5	-7.068874e-7
5	1.016265e-5	4.862778e-7	1.083376e-5	1.043815e-7
6	1.02959e-5	-4.527033e-7	1.061757e-5	8.618139e-7
7	1.100928e-5	1.181498e-7	1.009701e-5	-6.051796e-7
8	1.033805e-5	6.263646e-7	1.076351e-5	-8.501279e-8
9	1.012903e-5	-3.462606e-7	1.071964e-5	9.248072e-7
10	1.09708e-5	-1.047842e-7	1.007368e-5	-4.747888e-7
11	1.053825e-5	6.926225e-7	1.068399e-5	-2.592231e-7
12	1.001352e-5	-1.676516e-7	1.080481e-5	9.533514e-7
13	1.086818e-5	-3.055821e-7	1.008501e-5	-3.274279e-7
14	1.073483e-5	6.71454e-7	1.059239e-5	-4.17976e-7
15	9.95819e-6	4.706443e-8	1.087296e-5	9.462944e-7
16	1.07032e-5	-4.573007e-7	1.011679e-5	-1.635491e-7
17	1.091111e-5	5.705189e-7	1.049174e-5	-5.533919e-7
18	9.987799e-6	2.813065e-7	1.093301e-5	9.018312e-7
19	1.049571e-5	-5.419305e-7	1.016693e-5	7.120925e-9
20	1.103972e-5	3.926818e-7	1.038584e-5	-6.519757e-7
21	1.009539e-5	5.02215e-7	1.097256e-5	8.178319e-7
22	1.027444e-5	-5.332957e-7	1.024294e-5	1.804376e-7
23	1.110791e-5	1.605908e-7	1.028118e-5	-7.191222e-7
24	1.027529e-5	6.684463e-7	1.098607e-5	6.987232e-7
25	1.007385e-5	-4.264595e-7	1.033601e-5	3.496073e-7
26	1.108892e-5	-1.005361e-7	1.018525e-5	-7.462007e-7
27	1.049623e-5	7.66561e-7	1.096856e-5	5.599218e-7
28	9.918491e-6	-2.285932e-7	1.044556e-5	5.019943e-7
29	1.098453e-5	-3.544834e-7	1.010577e-5	-7.410231e-7
30	1.073572e-5	7.699392e-7	1.093511e-5	4.037863e-7
31	9.835065e-6	3.923095e-8	1.055481e-5	6.327224e-7
32	1.079975e-5	-5.647744e-7	1.004542e-5	-6.995673e-7
33	1.096004e-5	6.609937e-7	1.087962e-5	2.354002e-7
34	9.851849e-6	3.382214e-7	1.066144e-5	7.333839e-7
35	1.055789e-5	-6.805673e-7	1.001282e-5	-6.235521e-7
36	1.113331e-5	4.324033e-7	1.080223e-5	6.922875e-8
37	9.976509e-6	6.231701e-7	1.076719e-5	8.07613e-7
38	1.029018e-5	-6.675402e-7	1.000562e-5	-5.25603e-7
39	1.12182e-5	1.255823e-7	1.070718e-5	-9.520979e-8
40	1.018738e-5	8.364748e-7	1.086158e-5	8.55595e-7
41	1.004532e-5	-5.100179e-7	1.002512e-5	-4.042454e-7
42	1.119774e-5	-2.129463e-7	1.05928e-5	-2.554592e-7
43	1.044808e-5	9.383738e-7	1.093325e-5	8.711087e-7
44	9.867021e-6	-2.334534e-7	1.00812e-5	-2.579563e-7
45	1.106445e-5	-5.238755e-7	1.047432e-5	-3.996683e-7
46	1.07176e-5	8.991717e-7	1.097216e-5	8.52823e-7
47	9.792152e-6	1.144165e-7	1.016246e-5	-9.552957e-8
48	1.084409e-5	-7.546908e-7	1.03611e-5	-5.271279e-7
49	1.094244e-5	7.201176e-7	1.098412e-5	8.033236e-7
50	9.839803e-6	4.775862e-7	1.025941e-5	7.974949e-8
